scenario,EA_phase_pol,EA_price_pol,EA_cp_pol,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_offshore,lead_onshore,lead_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_233,0.83,0.46,0.68,0.47,0.54,0.5,0.09,0.64,0.76,0.19,0.01,0.88,0.49,0.73,0.09,0.27,0.85,0.61,-0.339,-0.245,28,32,2,1,3,0.589,0.638,0.788,0.973,0.767
S3_234,0.62,0.35,0.78,0.22,0.13,0.38,0.27,0.82,0.68,0.3,0.11,0.84,0.62,0.72,0.56,0.52,0.19,0.98,-0.273,-0.272,34,26,2,2,4,0.073,0.925,0.56,0.713,0.729
S3_235,0.3,0.84,0.47,0.58,0.44,0.87,0.76,0.23,0.05,0.99,0.66,0.52,0.53,0.96,0.93,0.62,0.38,0.07,-0.383,-0.165,26,30,6,3,4,0.772,0.762,0.658,0.719,0.239
S3_236,0.18,0.8,0.82,0.05,0,0.85,0.36,0.77,0.52,0.15,0.53,0.68,0.65,0.62,0.91,0.99,0.44,0.46,-0.265,-0.147,30,34,3,1,2,0.892,0.346,0.105,0.606,0.081
S3_237,0.55,0.51,0.15,0.45,0.7,0.35,0.4,0.48,0.47,0.06,0.13,0.47,0.57,0.27,0.2,0.49,0,0.86,-0.302,-0.146,34,29,6,3,2,0.352,0.189,0.549,0.908,0.581
S3_238,0.77,0.06,0.95,0.41,0.18,0.74,0.92,0.19,0.38,0.53,0.1,0.8,0.92,0.69,0.36,0.28,0.44,0.21,-0.346,-0.15,25,29,2,4,1,0.355,0.014,0.841,0.235,0.734
S3_239,0.34,0.6,0.21,0.59,0.02,0.59,0.98,0.47,0.34,0.36,0.68,0.41,0.03,0.88,0.72,0.72,0.69,0.16,-0.382,-0.136,27,35,2,2,2,0.149,0.333,0.619,0.81,0.765
S3_240,0.75,0.81,0.42,0.09,0.21,0.87,0.63,0.42,0.54,0.81,0.56,0.93,0.52,0.66,0.16,0.62,0.37,0.54,-0.346,-0.199,35,26,7,2,2,0.285,0.063,0.979,0.213,0.197
S3_241,0.41,0.35,0.04,0.52,0.07,0.94,0.05,0.39,0.58,0.98,0.65,1,0.81,0.53,0.55,0.34,0.34,0.75,-0.327,-0.16,34,30,2,2,2,0.74,0.212,0.428,0.801,0.231
S3_242,0.27,0.22,0.76,0.3,0.56,0.2,0.44,0.64,0.98,0.44,0.53,0.77,0.94,0.74,0.82,0.88,0.57,0.11,-0.284,-0.261,28,29,3,2,2,0.956,0.34,0.885,0.537,0.815
S3_243,0,0.51,0.06,0.47,0.57,0.88,0.64,0.24,0.9,0.76,0.08,0.96,0.15,0.85,0.86,0.36,0.69,0.13,-0.325,-0.114,31,26,8,3,3,0.767,0.511,0.042,0.885,0.944
S3_244,0.19,0.02,0.61,0.41,0.6,0.1,0.85,0.62,0.58,0.62,0.91,0.17,0.08,0.56,0.44,0.33,0.45,0.48,-0.307,-0.148,30,29,6,4,3,0.847,0.487,0.211,0.633,0.525
S3_245,0.97,0.95,0.26,0.65,0.49,0.44,0.25,0.43,0.78,0.75,0.55,0.32,0.42,0.73,0.68,0.03,0.81,0.78,-0.253,-0.225,30,27,4,1,3,0.346,0.257,0.566,0.728,0.664
S3_246,0.58,0.7,0.93,0.88,0.61,0.12,0.88,0.33,0.87,0.41,0.2,0.05,0.83,0.35,0.27,0.76,0.27,0.89,-0.366,-0.258,30,29,6,1,2,0.177,0.614,0.552,0.077,0.27
S3_247,0.48,0.42,0.41,0.91,0.16,0.47,0.01,0.87,0.49,0.42,0.48,0.18,0.97,0.73,0.44,0.23,0.07,0.45,-0.266,-0.121,29,31,8,2,2,0.223,0.891,0.854,0.866,0.725
S3_248,0.19,0.78,0.97,0.28,0.86,0.92,0.52,0.89,0.99,0.74,0.25,0.43,0.63,0.02,0.57,0.56,0.59,0.56,-0.351,-0.197,28,28,4,2,2,0.806,0.142,0.323,0.109,0.008
S3_249,0.6,0.54,0.74,0.37,0.29,0.1,0.83,0.27,0.97,0.33,0.03,1,0.17,0.88,0.23,0.8,1,0.36,-0.401,-0.224,27,32,7,3,3,0.611,0.303,0.877,0.47,0.05
S3_250,0.83,0.96,0.16,0.95,0.89,0.2,0.92,0.99,0.28,0.33,0.91,0.4,0.07,0.9,0.56,0.28,0.59,0.77,-0.343,-0.224,33,34,4,3,4,0.647,0.529,0.765,0.027,0.524
S3_251,0.5,0.91,0.78,0.29,0.26,0.23,0.56,0.1,0.94,0.1,0.29,0.82,0.95,0.83,0.65,0.46,0.63,0.93,-0.303,-0.189,35,33,7,2,3,0.178,0.596,0.728,0.095,0.708
S3_252,0.88,0.73,0.25,0.05,0.91,0.15,0.67,0.47,0.36,0.03,0.5,0.15,0.8,0.45,0.35,0.61,0.51,0.58,-0.308,-0.132,26,33,2,2,3,0.536,0.324,0.032,0.978,0.976
S3_253,0.8,0.29,0.8,0.46,0.18,0.58,0.21,0.44,0.24,0.97,0.94,0.56,0.18,0.9,0.79,0.85,0.5,0.83,-0.368,-0.126,32,25,6,4,3,0.077,0.301,0.393,0.399,0.398
S3_254,0.69,0.95,0.73,0.02,0.19,0.76,0.13,0.39,0.98,0.7,0.21,0.14,0.06,0.79,0.77,0.41,0.67,0.42,-0.38,-0.221,29,29,6,2,2,0.657,0.375,0.439,0.275,0.086
S3_255,0.17,0.19,0.63,0.67,0.02,0.46,0.03,0.04,0.22,0.47,0.32,0.17,0.59,0.54,0.66,0.32,0.6,0.99,-0.334,-0.137,30,26,3,4,2,0.504,0.617,0.465,0.661,0.378
S3_256,0.86,0.88,0.02,0.85,0.52,0.58,0.42,0.03,0.24,0.29,0.96,0.03,0.21,0.3,0.87,0.13,0.29,0.17,-0.26,-0.202,33,30,4,2,3,0.169,0.833,0.782,0.805,0.533
S3_257,0.35,0.48,0.44,0.39,0.71,0.41,0.04,0.44,0.55,0.14,0.14,0.52,0.29,0.32,0.83,0.62,0.18,0.5,-0.258,-0.238,30,35,7,4,3,0.9,0.396,0.693,0.385,0.443
S3_258,0.92,0.61,0.76,0.94,0.67,0.58,0.39,0.31,0.33,0.83,0.96,0.31,0.06,0.79,0.36,0.65,0.85,0.49,-0.353,-0.214,33,31,5,2,2,0.348,0.02,0.767,0.39,0.343
S3_259,0.49,0.46,0.24,0.08,0.22,0.29,0.15,0.32,0.04,0.9,0.09,0.36,0.53,0.7,0.06,0.02,0.53,0.7,-0.36,-0.139,35,28,6,4,3,0.481,0.342,0.921,0.037,0.842
S3_260,0.21,0.22,0.17,0.27,0.46,0.83,0.02,0.09,0.6,0.92,0.44,0.07,0.94,0.85,0.34,0.67,0.66,0.39,-0.337,-0.209,32,25,7,3,1,0.204,0.472,0.438,0.944,0.357
S3_261,0.12,0.33,0.1,0.91,0.21,0.61,0.93,0.43,0.63,0.94,0.83,0.56,0.62,0.96,0.45,0.16,0.83,0.81,-0.396,-0.223,32,26,3,4,3,0.839,0.879,0.605,0.283,0.713
S3_262,0.92,0.89,0.68,0.43,0.03,0.02,0.57,0.52,0.62,0.95,0.99,0.92,0.83,0.68,0.08,0.88,0.56,0.51,-0.248,-0.255,30,35,4,2,4,0.408,0.549,0.759,0.579,0.345
S3_263,0.54,0.92,0.61,0.31,0.73,0.44,0.88,0.81,0.49,0.62,0.18,0.64,0.26,0.36,0.6,0.81,0.12,0.77,-0.297,-0.132,26,32,3,4,2,0.305,0.961,0.931,0.323,0.798
S3_264,0.73,0.58,0.94,0.25,0.79,0.82,0.73,0.53,0.65,0.8,0.01,0.09,0.73,0.37,0.98,0.9,0.19,0.38,-0.39,-0.128,27,28,6,3,2,0.683,0.971,0.368,0.147,0.053
S3_265,0.73,0.31,0.37,0.3,0.36,0.15,0.1,0.48,0.69,0.05,0.7,0.83,0.61,0.23,0.55,0.53,0.13,0.45,-0.254,-0.127,29,30,6,4,4,0.559,0.483,0.773,0.073,0.074
S3_266,0.96,0.28,0.75,0.38,0.54,0.45,0.77,0.9,0.69,0.21,0.18,0.77,0.18,0.82,0.92,0.89,0.81,0.33,-0.32,-0.167,32,27,8,3,3,0.558,0.247,0.989,0.117,0.542
S3_267,0.29,0.95,0.7,0.24,0.56,0.5,0.88,0.79,0.12,0.39,0.22,0.52,0.35,0.67,0.84,0.45,0.65,0.78,-0.327,-0.262,34,33,8,4,4,0.162,0.279,0.517,0.595,0.966
S3_268,0.97,0.72,0.59,0.99,0.27,0.33,0.16,0.05,0.86,0.71,0.37,0.64,0.02,0.84,0.37,0.02,0.7,0.6,-0.329,-0.239,28,33,5,2,3,0.574,0.033,0.319,0.915,0.015
S3_269,0.66,0.74,0.24,0.8,0.87,0.16,0.84,0.79,0.41,0.09,0.19,0.54,0.14,0.25,0.06,0.25,0.91,0,-0.251,-0.24,31,33,4,3,3,0.818,0.085,0.109,0.845,0.579
S3_270,0.59,0.98,0.74,0.02,0.06,0.52,0.61,0.96,0.74,0.39,0.78,0.2,0.42,0.76,0.64,0.86,0.07,0.17,-0.277,-0.248,33,31,3,1,1,0.667,0.12,0.348,0.93,0.78
S3_271,0.45,0.89,0.65,0.35,0.64,0.19,0.69,0.13,0.73,0.93,0.46,0.51,0.84,0.97,0.11,0.35,0.71,0.67,-0.378,-0.208,29,25,6,3,2,0.935,0.419,0.832,0.988,0.644
S3_272,0.69,0.18,0.04,0.31,0.45,0.69,0.57,0.05,0.92,0.31,0.25,0.38,0.72,0.86,0.91,0.8,0.5,0.04,-0.244,-0.253,28,25,5,3,4,0.786,0.14,0.159,0.601,0.986
S3_273,0.84,0.22,0.14,0.63,0.97,0.67,0.54,0.04,0.02,0.77,0.74,0.17,0.15,0.7,0.78,0.1,0.06,0.3,-0.34,-0.187,28,28,2,4,4,0.338,0.777,0.942,0.269,0.851
S3_274,0.47,0.19,0.63,0.52,0.24,0.22,0.49,0.11,0.45,0.76,0.47,0.37,0.47,0.72,0.5,0.68,0.1,0.22,-0.287,-0.263,29,27,2,2,2,0.544,0.523,0.614,0.681,0.515
S3_275,0.39,0.74,0.98,0.8,0.07,0.49,0.5,0.22,0.79,0.89,0.23,0.44,0.48,0.17,0.95,0.87,0.23,0.72,-0.277,-0.135,34,26,7,1,1,0.77,0.037,0.879,0.599,0.698
S3_276,0.54,0.11,0.61,0.35,0.86,0.89,0.06,0.08,0.76,0.56,0.71,0.24,0.45,0.84,0.88,0.85,0.32,0.1,-0.316,-0.245,31,27,2,3,3,0.295,0.656,0.386,0.825,0.453
S3_277,0.32,0.13,0.35,0.19,0.26,0.91,0.79,0.81,0.42,0.43,0.56,0.12,0.51,0.13,0.27,0.41,0.32,0.4,-0.323,-0.154,32,33,5,3,2,0.801,0.45,0.234,0.242,0.711
S3_278,0.69,0.73,0.38,0.01,0.61,0.6,0.99,0.61,0.62,0.74,0.08,0.74,0.33,0.35,0.89,0.53,0.01,0.39,-0.314,-0.123,30,31,8,3,3,0.463,0.583,0.705,0.079,0.201
S3_279,0.81,0.44,0.86,0.22,0.72,0.31,0.78,0.07,0.66,0.51,0.02,0.32,0.2,0.54,0.01,0.09,0.57,0.39,-0.27,-0.248,29,33,7,4,1,0.636,0.447,0.4,0.993,0.647
S3_280,0.42,0.2,0.5,0.51,0.35,0.37,0.24,0.71,0.93,0.38,0.35,0.1,0.23,0.34,0.08,0.59,0.74,0.12,-0.347,-0.251,26,28,7,2,2,0.254,0.023,0.575,0.373,0.216
S3_281,0.82,0.16,0.03,1,0.62,0.92,0.34,0.78,0.9,0.3,0.08,0.69,0.49,0.61,0.07,0.29,0.42,0.05,-0.336,-0.26,32,29,5,1,3,0.511,0.008,0.672,0.606,0.001
S3_282,0.03,0.78,0.98,0.19,0.93,0.01,0.97,0.82,0.3,0.73,0.52,0.94,0.36,0.15,0.14,0.38,0.96,0.25,-0.403,-0.139,29,34,5,3,4,0.701,0.074,0.408,0.361,0.89
S3_283,0,0.57,0.31,0.19,0.78,0.29,0.17,0.83,0.87,0.71,0.99,0.69,0.45,0.45,0.14,0.47,0.36,0.61,-0.328,-0.191,34,32,6,3,3,0.69,0.357,0.38,0.219,0.281
S3_284,0.55,0.15,0.67,0.61,0.25,0.84,0.88,0.34,0.08,0.97,0.42,0.15,0.98,0.54,0.89,0.88,0.96,0.02,-0.259,-0.217,31,28,4,4,1,0.011,0.179,0.382,0.901,0.223
S3_285,0.41,0.47,0.12,0.98,0.88,0.9,0.2,0.94,0.58,0.59,0.5,0.44,0.83,0.97,0.31,0.91,0.08,0.73,-0.276,-0.114,32,31,3,4,3,0.584,0.691,0.358,0.864,0.802
S3_286,0.52,0.72,0.8,0.65,0.15,0.56,0.92,0.24,0.34,0.26,0.38,0.03,0.38,0.22,0.22,0.14,0.9,0.67,-0.25,-0.161,26,26,7,4,3,0.03,0.132,0.405,0.715,0.093
S3_287,0.37,0.2,0.01,0.75,0.98,0.44,0.7,0.01,0.61,0.55,0.9,0.83,0.42,0.65,0.89,0.02,0.31,0.6,-0.401,-0.259,27,32,5,4,4,0.563,0.572,0.258,0.287,0.965
S3_288,0.66,0.34,0.34,0.75,0.55,0.42,0.34,0.91,0.21,0.9,0.29,0.41,0.35,0.71,0.82,0.29,0.55,0.98,-0.32,-0.132,34,28,8,1,1,0.002,0.809,0.969,0.43,0.054
S3_289,0.21,0.63,0.42,0.63,0.55,0.62,0.22,0.98,0.42,0.27,0.64,0.7,0.91,0.28,0.06,0.26,0.82,0.24,-0.389,-0.185,30,32,5,3,3,0.013,0.82,0.308,0.851,0.47
S3_290,0.37,0.03,0.62,0.8,0.14,0.55,0.77,0.3,0.01,0.84,0.97,0.48,0.09,0.01,0.79,0.68,0.35,0.64,-0.238,-0.251,28,30,8,2,3,0.797,0.952,0.247,0.976,0.769
S3_291,0.92,0.18,0.62,0.37,0.28,0.79,0.97,0.25,0.86,0.64,0.08,0.84,0.03,0.26,0.24,0.59,0.75,0.88,-0.299,-0.125,34,29,5,3,3,0.314,0.811,0.909,0.564,0.128
S3_292,0.7,0.09,0.98,0.74,0.42,0.39,1,0.7,0.64,0.03,0.7,0.71,0.44,0.38,0.78,0.8,0.75,0.56,-0.317,-0.24,31,29,6,2,4,0.488,0.766,0.503,0.28,0.877
S3_293,0.35,0.41,0.33,0.6,0.91,0.72,0.18,0.55,0.88,0.44,0.69,0.35,0.78,0.85,0.68,0.93,0.77,0.54,-0.305,-0.12,35,33,6,1,1,0.292,0.099,0.8,0.039,0.673
S3_294,0.08,0.85,0.94,0.34,0.17,0.08,0.36,0.38,0.78,0.79,0.38,0.14,0.91,0.28,0.78,0.78,0.13,0.94,-0.267,-0.146,28,26,8,1,2,0.52,0.224,0.011,0.693,0.531
S3_295,0.78,0.53,0.74,0.95,0.88,0.83,0.78,0.21,0.61,0.61,0.04,0.24,0.88,0.76,0.05,0.99,0.33,0.9,-0.283,-0.236,27,27,3,4,1,0.005,0.237,0.709,0.369,0.591
S3_296,0.55,0.84,0.83,0.82,0.98,0.85,0.32,0.54,0.39,0.19,0.51,0.39,0.91,0.31,0.16,0.66,0.92,0.75,-0.383,-0.193,26,31,8,1,3,0.823,0.954,0.842,0,0.659
S3_297,0.12,0.34,1,0.94,0.71,0.16,0.69,0.63,0.74,0.73,0.59,0.89,0.57,0.31,0.48,0.17,0.64,0.58,-0.372,-0.116,30,34,4,3,3,0.067,0.337,0.653,0.239,0.183
S3_298,0.72,0.74,0.88,0.26,0.06,0.54,0.59,0.13,0.43,0.25,0.93,0.63,0.63,0.09,0.15,0.46,0.4,0.45,-0.364,-0.266,29,32,8,3,1,0.378,0.293,0.556,0.42,0.127
S3_299,0.49,0.79,0.87,0.33,0.15,0.02,0.61,0.79,0.33,0.93,0.89,0.49,0.13,0.38,0.36,0.65,0.75,0.85,-0.395,-0.167,29,27,3,1,3,0.872,0.623,0.101,0.619,0.685
S3_300,0.7,0.08,0.39,0.29,0.53,0.17,0.06,0.11,0.94,0.74,0.49,0.12,0.82,0.25,0.34,0.4,0.92,0.03,-0.404,-0.178,33,26,4,1,3,0.071,0.209,0.589,0.463,0.774
S3_301,0.35,0.24,0.51,0.4,0.93,0.88,0.89,0.52,0.12,0.11,0.57,0.5,0.9,0.2,0.97,0.49,0.72,0.48,-0.28,-0.266,27,30,4,1,3,0.183,0.428,0.448,0.527,0.318
S3_302,0.34,0.17,0.29,0.88,0.55,0.27,0.01,0.3,0.51,0.11,0.99,0.47,0.53,0.56,0.71,0.39,0.62,0.41,-0.246,-0.135,30,28,2,1,2,0.945,0.544,0.236,0.634,0.338
S3_303,0.25,0.28,0.2,0.2,0.36,0.53,0.96,0.73,0.31,0.68,0.67,0.25,0.21,0.49,0.6,0.98,0.87,0.57,-0.301,-0.128,30,33,2,3,1,0.803,0.197,0.714,0.237,0.07
S3_304,0.73,0.15,0.42,0.42,0.76,0.36,0.87,0.89,0.47,0.24,0.06,0.07,0.62,0.37,0.88,0.49,0.25,0.69,-0.375,-0.143,34,35,5,3,3,0.228,0.758,0.338,0.516,0.082
S3_305,0.52,0.7,0.47,0.44,0.82,0.63,0.63,0.37,0.07,0.49,0.98,0.67,0.71,0.65,0.73,0.2,0.33,0.63,-0.341,-0.195,33,28,6,1,1,0.319,0.722,0.312,0.581,0.011
S3_306,0.65,0.38,0.17,0.13,0.73,0.71,0.49,0.68,0.65,0.13,0.85,0.51,0.72,0.11,0.98,0.72,0.8,0.05,-0.276,-0.237,29,30,6,3,1,0.478,0.827,0.977,0.754,0.272
S3_307,0.6,0.39,0.55,0.77,0.45,0.08,0.5,0.26,0.53,0.12,0.75,0.13,0.05,0.17,0.56,0.2,0.71,0.36,-0.39,-0.211,33,31,2,1,4,0.375,0.186,0.429,0.998,0.576
S3_308,0.2,0.99,0.85,0.5,0.38,1,0.07,0.08,0.35,0.98,0.28,0.68,0.19,0.86,0.25,0.43,0.39,0.73,-0.261,-0.192,31,34,4,3,3,0.256,0.321,0.267,0.202,0.063
S3_309,0.11,0.36,0.42,0.73,0.77,0.45,0.43,0.56,0.08,0.96,0.98,0.33,0.2,0.22,0.1,0.83,0.66,0.84,-0.295,-0.129,33,29,7,2,3,0.837,0.696,0.435,0.704,0.848
S3_310,0.03,0.63,0.92,0.03,0.91,0.17,0.31,0.07,0.52,0.52,0.44,0.54,0.31,0.96,0.1,0.5,0.29,0.02,-0.384,-0.183,26,33,3,3,2,0.507,0.028,0.128,0.842,0.146
S3_311,0.26,0.65,0.07,0.55,0.59,0.55,0.9,0.58,0.77,0.54,0.14,0.43,0.75,0.37,0.74,0.58,0.93,0.92,-0.25,-0.113,34,31,5,1,2,0.298,0.009,0.058,0.383,0.334
S3_312,0.89,0.63,0.26,0.11,0.63,0.47,0.62,0.91,0.96,0.45,0.14,0.58,0.95,0.27,0.23,0.22,0.47,0.9,-0.399,-0.235,26,30,7,3,2,0.944,0.597,0.785,0.512,0.617
S3_313,0.33,0.25,0.29,0.11,0.51,0.64,0.16,0.47,0.09,1,0.64,0.83,0.82,0.66,0.01,0.19,0.46,0.7,-0.379,-0.206,27,34,4,3,2,0.697,0.227,0.544,0.95,0.151
S3_314,0.18,0.58,0.02,0.33,0.5,0.35,0.04,0.71,0.17,0.47,0.51,0.7,0.97,0.49,0.85,0.66,0.99,0.57,-0.386,-0.221,29,26,6,4,4,0.83,0.347,0.25,0.592,0.297
S3_315,0.05,0.85,0.58,0.97,0.84,0.77,0.35,0.41,0.38,0.56,0.18,0.9,0.67,0.24,0.2,0.17,0.01,0.88,-0.319,-0.195,33,26,6,2,4,0.11,0.069,0.502,0.717,0.203
S3_316,0.94,0.24,0.26,0.7,0.44,0.39,0.87,0.63,0.07,0.54,0.42,0.28,0.12,0.57,0.34,0.44,0.9,0.14,-0.271,-0.251,31,32,6,3,3,0.672,0.941,0.172,0.42,0.06
S3_317,0.18,0.51,0.13,0.26,0.97,0.98,0.67,0.75,0.26,0.25,0.99,0.74,0.31,0.12,0.16,0.44,0.05,0.29,-0.272,-0.232,26,25,5,3,2,0.863,0.713,0.316,0.614,0.791
S3_318,0.46,0.37,0.66,0.67,0.63,0.05,0.73,0.18,0.75,0.6,0.14,0.39,0.01,0.78,0.29,0.29,0.56,0.79,-0.274,-0.172,27,33,6,4,2,0.023,0.488,0.149,0.747,0.368
S3_319,0.11,0.23,0.26,0.17,0.99,0.39,0.84,0.48,0.02,0.92,0.19,0.25,0.37,0.5,0.58,0.89,0.97,0.75,-0.403,-0.236,27,28,5,3,2,0.618,0.911,0.623,0.686,0.672
S3_320,0.4,0.17,0.35,0.17,0.69,0.25,0.96,0.97,0.54,0.63,0.35,0.22,0.06,0.41,0.03,0.93,0.27,0.79,-0.343,-0.123,33,34,5,4,4,0.478,0.364,0.761,0.997,0.098
S3_321,0.87,0.69,0.75,0.19,0.12,0.49,0.6,0.61,0.22,0.31,0.26,0.53,0.26,0.47,0.6,0.89,0.11,0.96,-0.245,-0.154,26,27,5,2,2,0.491,0.883,0.901,0.227,0.307
S3_322,0.58,0.13,0.48,0.28,0.01,0.12,0.17,0.75,0.4,0.14,0.49,0.23,0.87,0.06,0.05,0.9,0.72,0.93,-0.264,-0.252,33,26,7,1,4,0.924,0.175,0.643,0.69,0.031
S3_323,0.5,0.64,0.18,0.1,0.62,0.05,0.28,0.29,0.57,0.46,0.9,0.03,0.63,0.92,0.75,0.12,0.53,0.77,-0.346,-0.122,30,30,3,1,4,0.373,0.567,0.221,0.209,0.219
S3_324,0.37,0.09,0.02,0.38,0.13,0.11,0.22,0.33,0.36,0.52,0.21,0.33,0.12,0.89,0.57,0.45,0.49,0.76,-0.304,-0.167,34,30,4,3,2,0.015,0.164,0.331,0.449,0.614
S3_325,0.38,0.53,0.96,0.62,0.37,0.07,0.2,0.13,0.16,0,0.27,0.98,0.47,0.13,0.06,0.76,0.77,0.1,-0.312,-0.272,27,31,5,2,4,0.35,0.756,0.86,0.121,0.509
S3_326,0.12,0.74,0.38,0.45,0.63,0.07,0.61,0.74,0.7,0.04,0.59,0.95,0.59,0.3,0.04,0.77,0.43,0.32,-0.314,-0.273,25,30,3,2,2,0.099,0.039,0.655,0.489,0.837
S3_327,0.76,0.67,0.9,0.41,0.51,0.27,0.32,0.86,0.66,0.97,0.76,0.41,0.4,0.48,0,0.57,0.95,0.96,-0.268,-0.164,31,28,6,3,1,0.596,0.048,0.533,0.814,0.312
S3_328,0.76,0.46,0.08,0.46,0.37,0.85,0.15,0.58,0.45,0.16,0.08,0.72,0.63,0.43,0.73,0.52,0.17,0.24,-0.262,-0.242,31,33,2,3,2,0.341,0.987,0.77,0.89,0.544
S3_329,0.47,0.69,0.09,0.16,0.62,0.41,0.1,0.19,0.15,0.42,0.24,0.7,0.38,0,0.38,0.19,0.18,0.99,-0.296,-0.249,33,26,4,2,3,0.031,0.802,0.526,0.879,0.158
S3_330,0.53,0.2,0.02,0.9,0.79,0.47,0.47,0.49,0.27,0.24,0.88,0.57,0.02,0.97,0.63,0.84,0.46,0.33,-0.287,-0.228,29,26,7,3,3,0.553,0.413,0.744,0.764,0.625
S3_331,0.39,0.43,0.62,0.75,0.34,0.57,0.61,0.69,0.81,0.54,0.18,0.82,0.89,0.66,0.3,0.09,0.35,0.75,-0.244,-0.26,34,33,7,3,2,0.275,0.216,0.461,0.448,0.941
S3_332,0.09,0.55,0.08,0.32,0.5,0,0.81,0.83,0.46,0.04,0.07,0.27,0.52,0.48,1,0.95,0.45,0.76,-0.267,-0.118,28,32,5,4,2,0.136,0.669,0.002,0.321,0.595
S3_333,0.7,0.69,0.11,0.45,0.67,0.46,0.99,0.85,0.82,0.42,0.41,0.38,0.53,0.58,0.81,0.36,0.76,0.95,-0.354,-0.189,35,31,4,3,1,0.672,0.918,0.685,0.041,0.752
S3_334,0.27,0.16,0.99,0.14,0.84,0.52,0.27,0.21,0.5,0.64,0.67,0.78,0.38,0.34,0.86,0.08,0.06,0.47,-0.323,-0.2,32,32,5,2,4,0.755,0.689,0.849,0.541,0.655
S3_335,0.39,0.31,0,0.71,0.87,0.24,0.12,0.92,0.43,0.87,0.16,0.15,0.88,0.19,0.87,0.09,0.68,0.03,-0.316,-0.214,31,33,4,4,4,0.832,0.514,0.27,0.443,0.747
S3_336,0.46,0.37,0.79,0.42,0.07,0.76,0.83,0.86,0.39,0.52,0.17,0.37,0.5,0.36,0.5,0.17,0.86,0.21,-0.302,-0.204,26,31,6,3,3,0.587,0.433,0.988,0.852,0.988
S3_337,0.48,0.84,0.53,0.94,0.94,0.73,0.87,0.17,0.21,0.27,0.57,0.65,0.96,0.83,0.87,0.05,0.55,0.4,-0.36,-0.246,29,34,4,2,2,0.78,0.457,0.486,0.87,0.759
S3_338,0.12,0.11,0.9,0.14,0.83,0.76,0.91,0,0.83,0.85,0.43,0.3,0.47,0.45,0.45,0.3,0.68,0.06,-0.382,-0.234,29,31,3,2,1,0.384,0.571,0.045,0.792,0.641
S3_339,0.21,0.05,0.01,0.39,0.35,0.48,0.99,0.04,0.08,0.17,0.81,0.79,0.7,0.4,0.2,0.05,0.31,0.62,-0.24,-0.162,27,33,8,3,2,0.734,0.853,0.424,0.271,0.881
S3_340,0.95,0.57,0.43,0.08,0.05,0.27,0.51,0.75,0.55,0.59,0.46,0.94,0.08,0.06,0.17,0.3,0.97,0.89,-0.353,-0.209,28,27,5,2,3,0.661,0.241,0.718,0.215,0.43
S3_341,0.5,0.37,0.13,0.8,0.83,0.33,0.97,0.31,0.73,0.62,0.25,0.63,0.29,0.44,0.26,0.16,0.08,0.48,-0.266,-0.224,30,30,3,2,3,0.987,0.789,0.243,0.122,0.814
S3_342,0.03,0.4,0.49,0.67,0.5,0.93,0.79,0.32,0.2,0.49,0.34,0.79,0.78,0.1,0.57,0.51,0.15,0.79,-0.333,-0.169,32,35,6,3,1,0.034,0.682,0.858,0.528,0.328
S3_343,0.42,0.46,0.28,0.44,0.95,0.32,0.26,0.65,0.51,0.64,0.69,0.25,0.69,0.14,0.18,0.26,0.79,0.43,-0.234,-0.157,31,31,8,4,2,0.455,0.186,0.805,0.075,0.78
S3_344,0.56,0.14,0.85,0.86,0.38,0.75,0.46,0.23,0.93,0.92,0.54,0.16,0.48,0.02,0.72,0.95,0.64,0.26,-0.342,-0.229,32,28,7,2,3,0.696,0.046,0.158,0.732,0.829
S3_345,0.87,0.49,0.86,0.39,0.57,0.7,0.68,0.22,0.1,0.29,0.45,0.9,0.6,0.05,0.67,0.25,0.85,0.78,-0.291,-0.206,33,30,6,2,3,0.405,0.074,0.403,0.41,0.462
S3_346,0.3,0.38,0.68,0.67,0.8,0.62,0.84,0.12,0.13,0.21,0.72,0.42,0.1,0.15,0.85,0.93,0.75,0.72,-0.316,-0.18,28,30,8,2,1,0.439,0.563,0.144,0.854,0.703
S3_347,0.11,0.75,0.5,0.32,0.5,0.05,0.94,0.83,0.91,0.23,0.65,0.75,0.93,0.13,0.9,0.54,0.68,0.65,-0.37,-0.239,31,29,4,1,2,0.432,0.126,0.801,0.536,0.217
S3_348,0.92,0.27,0.14,0.5,0.42,0.14,0.45,0.6,0.68,0.22,0.87,0.45,0.96,0.37,0.51,0.93,0.64,0.31,-0.27,-0.217,32,31,6,3,2,0.419,0.86,0.098,0.028,0.645
S3_349,0.98,0.88,0.71,0.53,0.47,0.75,0.43,0.64,0.01,0.56,0.49,0.26,0.43,1,0.03,0.01,0.76,0.17,-0.261,-0.237,33,33,4,3,3,0.529,0.397,0.281,0.439,0.317
S3_350,0.17,0.03,0.85,0.96,0.06,0.04,0.1,0.75,0.12,0.63,0.64,0.46,0.51,0.17,0.75,0.63,0.61,0.11,-0.276,-0.139,34,32,3,2,2,0.357,0.144,0.084,0.389,0.103
